system	cytoband	start.pos	end.pos	color	dye
D13S634	13q21.33	380	428	blue	6-FAM
D18S535	18q12.3	466	498	blue	6-FAM
D21S11	21q21.1	228	279	blue	6-FAM
D21S1437	21q21.1	307	347	blue	6-FAM
D21S1435	21q21.3	167	204	blue	6-FAM
DXS6803	Xq21.31	131	153	blue	6-FAM
D13S800	13q22.1	284	320	yellow	NED
D13S628	13q31.1	426	465	yellow	NED
D18S978	18q12.3	207	223	yellow	NED
D18S390	18q22.3	356	394	yellow	NED
AMELX	Xp22.22	104	104	yellow	NED
TAF9L3	3p24.2	116	116	yellow	NED
AMELY	Yp11.2	110	110	yellow	NED
TAF9LX	Xq21.1	121	121	yellow	NED
SRY	Yp11.31	248	248	yellow	NED
D13S252	13q12.2	274	311	red	PET
D18S819	18q11.2	400	425	red	PET
D21S1409	21q21.2	191	239	red	PET
D21S1442	21q21.3	332	389	red	PET
D13S305	13q13.3	424	466	green	VIC
D18S386	18q22.1	332	405	green	VIC
D21S1446	21q21.3	205	235	green	VIC
XHPRT	Xq26.2	266	298	green	VIC
DXS1187	Xq26.2	123	165	green	VIC

