system	cytoband	start.pos	end.pos	color	dye
AMEL	Xp22.22	78	92	blue	6-FAM
D3S1358	3p21.31	92	148	blue	6-FAM
TH01	11p15.5	148	195	blue	6-FAM
D21S11	21q21.1	195	270	blue	6-FAM
D18S51	18q21.33	270	370	blue	6-FAM
D10S1248	10q26.3	70	125	green	VIC
D1S1656	1q42	125	182	green	VIC
D2S1338	2q35	182	265	green	VIC
D16S539	16q24.1	265	330	green	VIC
D22S1045	22q12.3	70	120	yellow	NED
vWA	12p13.31	120	200	yellow	NED
D8S1179	8q24.13	200	258	yellow	NED
FGA	4q28	258	420	yellow	NED
D2S441	2p14	80	127	red	PET
D12S391	12p12	127	188	red	PET
D19S433	19q12	188	262	red	PET
SE33	6q14	262	460	red	PET
